guest_black,host_race_black,host_gender_M,ten_reviews,multiple_listings,shared_property,log_price,yes
0,0,1,1,1,1,4.2195077,1
0,0,0,0,0,1,4.4998097,1
1,0,0,1,1,0,5.2470241,1
1,0,0,1,0,0,4.9052749,1
1,0,1,1,0,0,5.3423343,0
0,0,0,1,0,0,4.7004805,1
0,0,1,0,0,0,5.1647859,0
1,0,1,0,0,1,4.6051702,0
0,0,0,0,0,0,4.9416423,0
1,0,1,0,0,0,5.5174527,0
0,0,0,1,1,1,3.6635616,0
0,0,1,1,0,1,4.3040652,0
1,0,0,0,1,0,5.521461,0
0,0,0,1,1,0,4.9052749,0
1,0,0,1,1,1,4.3174882,0
0,0,0,0,0,0,5.0751739,1
0,0,0,1,0,1,4.59512,1
0,0,0,1,1,1,4.1743875,0
1,0,0,1,1,1,4.7095304,1
0,0,0,1,0,1,4.4886365,0
0,0,0,1,1,0,4.4886365,1
0,0,0,0,0,0,,0
0,0,1,0,0,0,5.4764633,1
0,0,0,1,1,1,5.0106354,1
1,1,0,1,1,1,3.9889841,0
0,0,0,1,0,1,4.3174882,0
0,0,0,1,0,0,4.4998097,1
0,0,0,1,0,1,4.0943446,0
1,0,0,0,0,0,4.3174882,0
1,0,0,1,0,0,4.5538769,1
0,0,0,1,0,0,4.7874918,0
1,0,0,1,1,0,5.7037826,0
1,0,0,1,0,0,4.9416423,
1,0,0,0,1,1,3.9120231,0
1,0,0,1,0,0,4.4426513,1
0,0,0,1,1,0,5.0106354,1
1,0,0,0,0,1,4.7004805,0
1,0,0,1,1,0,5.1059456,1
1,0,0,1,0,1,4.2484951,0
0,0,0,0,0,1,3.6888795,1
0,0,0,1,1,0,4.8283138,1
1,0,0,1,1,0,5.3423343,0
1,0,0,0,1,1,4.59512,0
0,0,1,1,1,0,5.0106354,0
1,1,1,0,0,0,5.1059456,1
0,0,1,1,0,1,4.2484951,0
1,0,1,0,0,1,6.650279,0
0,0,1,1,0,1,4.2484951,0
1,0,1,1,0,1,4.2484951,1
0,0,0,1,0,1,4.3174882,0
0,0,1,1,1,0,5.521461,0
1,0,0,1,1,0,4.3820267,1
0,0,0,1,1,0,4.4886365,0
1,0,0,1,1,0,5.0434251,1
1,0,0,1,1,1,4.0775375,1
0,0,1,1,0,0,4.8675346,1
1,0,0,1,1,0,4.7004805,1
0,0,1,1,1,0,5.1298985,0
1,0,0,0,0,1,4.0943446,0
0,0,1,1,0,1,4.6051702,1
1,0,1,1,0,0,5.0039463,1
0,0,0,1,0,0,5.3706379,0
0,0,1,1,1,1,4.59512,0
0,0,0,0,0,1,4.0073333,1
1,0,0,1,1,0,5.3936276,0
0,0,0,1,0,1,4.2195077,0
1,0,0,1,1,0,4.6913481,0
1,0,0,1,1,0,5.9914646,0
1,0,1,1,1,0,4.8283138,0
0,0,0,0,0,0,4.9416423,1
1,0,0,0,0,1,4.1896548,0
1,0,1,1,1,0,5.9788857,
0,0,0,1,1,0,4.7874918,1
1,0,0,1,1,1,4.6539602,1
0,0,0,1,1,0,7.3132205,0
1,0,0,1,1,1,3.3322046,0
0,1,0,1,1,0,5.0689044,1
0,0,1,1,0,1,4.5538769,0
0,1,0,1,0,0,4.4998097,0
0,0,0,0,0,0,4.7874918,0
1,0,0,1,0,0,4.8283138,0
1,1,1,0,0,1,4.9416423,1
1,0,0,0,0,1,5.2983174,0
1,0,0,1,1,1,4.0943446,1
1,0,0,1,1,0,5.7004437,1
1,0,1,1,0,0,5.0039463,0
1,0,0,1,0,1,4.4886365,0
1,0,0,1,1,1,3.8066626,1
0,0,0,0,0,1,4.356709,0
0,0,0,1,0,1,4.1743875,
1,0,0,1,1,0,5.220356,1
1,0,0,1,1,0,7.1701198,1
0,0,0,1,0,0,4.9272537,0
0,0,0,1,0,0,5.2933049,0
0,0,0,1,1,0,5.9135032,0
0,0,1,1,1,0,5.0039463,
0,0,0,1,1,0,5.1647859,0
0,0,0,0,0,1,4.59512,1
0,0,0,0,0,0,5.4161005,1
0,0,0,1,0,0,4.7791233,1
1,0,0,1,1,1,4.2626801,1
0,0,0,1,1,1,4.356709,1
0,0,1,1,1,0,4.8283138,1
1,0,0,1,0,0,5.1647859,0
1,0,0,1,1,1,4.6913481,1
1,0,0,1,1,1,4.2484951,0
1,0,0,1,1,1,3.9120231,0
1,0,0,0,0,0,5.0106354,1
0,0,1,1,0,1,4.3174882,0
0,0,1,1,0,1,4.0073333,0
0,1,1,1,1,1,4.4426513,1
1,0,0,1,1,0,5.2933049,1
0,0,0,1,0,1,4.5538769,1
0,0,0,1,0,1,4.4773369,1
0,0,0,0,0,0,4.5538769,0
0,0,0,0,0,0,5.2983174,0
1,0,0,1,0,0,4.8283138,0
0,0,1,1,1,0,4.3820267,1
0,1,0,1,0,0,4.9052749,0
0,0,1,0,0,0,5.1357985,0
1,0,0,1,0,0,4.7874918,0
1,0,1,1,1,0,5.480639,1
1,0,0,1,1,0,5.0106354,0
0,0,0,1,0,1,4.1431346,0
0,0,0,1,1,1,4.8283138,0
1,0,0,1,0,0,,0
1,0,0,0,0,0,6.3969297,1
0,0,1,1,1,1,4.3174882,1
0,0,1,1,0,0,5.1357985,0
0,0,0,0,0,1,4.3174882,0
1,0,0,1,1,1,4.6051702,0
1,0,0,1,1,1,4.7874918,1
0,0,1,1,1,1,4.2341065,0
1,0,1,1,0,1,4.4426513,1
1,0,1,1,0,1,4.2484951,1
0,0,0,0,0,1,4.4998097,0
1,0,0,1,0,0,4.8283138,
0,0,0,1,1,0,5.0689044,1
0,0,0,1,1,1,4.7874918,0
1,0,1,1,1,0,5.220356,1
0,0,0,1,1,1,6.9077554,0
0,0,0,1,1,0,5.0106354,1
